prolific_id,exit2_reason_changes,codes
56cf6e8d31a5bc0006e1cdf5,"I did think that response 5 was ""too good"" and more like a written answer than a spoken one, which made me suspicious. I also think people speaking may not order their thoughts as well as when they write (when they can edit) AI could have an advantage here as I guess it doesn't know the difference between speaking and writing....or does it?",ai_bad_quality_authentic; ai_too_coherent
605e9cc770aa6d1947d02bfa,Based on my ratings AI gives better responses than the rambling politicians.,ai_better_quality
66716ad8b42ef93f2389d11e,"Seems like chatbots/AI give better responses than those that are not. Interesting stuff, thanks for the small survey :)",ai_better_quality
5ea165642992290008e76c7f,"I'm really upset that the answers I felt were more coherent and that I thought were definitely human were most of them written by an AI. It's scared me a little, because I suddenly feel easily duped.",ai_better_quality; ai_indistinguishable ; emotion_fear; emotion_deceived
66607eab800ff4f96a6fe655,It is not surprising that responses supported by AI have been most articulate. The use of AI is acceptable but needs monitoring and regulating. I don't want to change the responses.,ai_better_quality_articulate; ai_use_yes; no_change; ai_use_regulated; ai_better_quality_coherence_expected
65ca3241aedc6b7667899114,AI can appear more authentic and maybe I shouldn't be so easily swayed into well written prose and think more about whether a human would say it or not!,ai_better_quality_authentic; ai_use_deceive
64b53cb9f438ca54a2ca5065,"Some of the most authentic and coherent answers were given by AI. This makes me realise that I am not as able to spot AI as I thought, and that AI responses could be more useful than I thought.",ai_better_quality_authenticity; ai_better_quality_coherence; ai_not_as_familiar; ai_use_maybe
5f5b4aa99a3ef626581a1473,"I believed the AI contributions were accurate and also relevant, therefore showing me that there can be a use for AI in gathering data to discuss a debate, though it should absolutely be regulated heavily and made explicitly clear that AI is making the argument",ai_better_quality_authenticity; ai_better_quality_relevance; ai_use_yes; ai_use_disclosed; ai_use_regulated
628781515f29a0394e23b15b,I was  impressed by the coherence of AI responses.,ai_better_quality_coherence
5f5bd15d316470386ea464d3,Didn't realise the most coherent answers were AI - but of course they would be - there is no uncertainty or fuzzy thinking.,ai_better_quality_coherence
5eddaa6d115bb4ac7e59f153,the chatbots gave more coherent answers than real people,ai_better_quality_coherence
63ced717cb553d29a3beac43,"I find it very interesting I chose all the AI generated responses as most coherent, however it's probably not that surprising as AI has so much computer power to call on whereas politicians are on the spot",ai_better_quality_coherence; ai_better_coherence_expected
65c8d7f023278532f6f49139,"The chatbots did have some logical and coherent arguments, perhaps better than the real life peoples arguments",ai_better_quality_coherence; ai_better_quality_argumentation
66602f55d7e96ba10c35a4ac,"The responses provided by AI were coherent and flowed well, they got to the point with the answers and didn't include any details that weren't relevant.",ai_better_quality_coherence; ai_better_quality_flow;  ai_good_quality_relevance
6658b5488f1ee667f4263acd,The AI answers were definitely more coherent and made more relevant points. Maybe there is an element of being put on the spot in question time that made the real answers a bit 'messy' (for lack of better term) which put me off when reading them.,ai_better_quality_coherence; ai_better_quality_relevance; ai_better_quality_coherence_expected
5bc4c4933b998700018142cd,"The fact that I consistently selected the AI response as preferable - more relevant and coherent - has given me pause for thought. I still believe that transparency and regulation is required in this area, but I felt that the AI-generated responses provided more consistent reasoning and evidence-based responses that made more sense and relied less on emotional responses.",ai_better_quality_coherence; ai_better_quality_relevance; ai_use_disclosed; ai_use_regulated; ai_better_quality_less_emotion; ai_better_quality_reasoning; ai_better_quality_evidence_based
5ea031f7e044e104a205f65b,AI answer was useful and more coherent than real answers.,ai_better_quality_coherence; ai_better_quality_usefulness
665c674586e39a9d30720f53,"In terms of coherence, i think the AI were able to make the statements overall more coherent for the reader and therefore may provide a valuable contribution to public debates.",ai_better_quality_coherence; ai_valuable_contribution
6522f82f26c6715c5ef8f715,I like the coherence but it takes away from authenticity,ai_better_quality_coherence; ai_worse_quality_authenticity
6658d06ebb57e6360147fbd6,"I am sticking with my original selections, but I was surprised with how I tended to think the AI generated responses were more authentic and coherent. This does have some alarming possibilities, especially with an election coming up. However, I don't think that AI chatbots should only be deployed in specific circumstances, but perhaps, should not be allowed during an election campaign for political use because there is the potential to cause confusion and spread misinformation when things can sound so authentic.",ai_better_quality_coherent; ai_better_quality_authentic; ai_misuse; ai_use_limited; ai_use_deceive
5e1378d34babe39a418f11c2,They are more convincing than I thought and are able to change perceptions of politicians and their  beliefs.,ai_better_quality_convincingness
5e2872fffcdb020467d12799,I saw from the answers that the Cat AI was often more convincing and articulate than the suggested speaker,ai_better_quality_convincingness; ai_better_quality_articulate
5af2a03697a14300017d2ba4,Some of the 'real responses' appeared to have typos and illogical sentences which swayed my decision making.  To me it just shows the poor quality of debate in general and highlights that people on these types of programmes (and in Westminster) are generally talentless.,ai_better_quality_grammar; ai_better_quality_coherence; human_quality_bad
606c8e6bc369e4344ecd5ed1,I found the AI to be far more honest and coherent,ai_better_quality_honesty; ai_better_quality_coherence
63ea497523794756c703094c,"Chatbots probably can provide valuable contributions to public debates because for some of the questions, the AI responses were more well-rounded and sounded as if they  had a better understanding of the issues being discussed.  I could not tell the difference between the AI content and what was actually said by people on the panel.",ai_better_quality_understanding; ai_indistinguishable ; ai_use_maybe
5eff6065cc8d32014292657f,The AI responses were very believable.,ai_good_quality_authenticity
6658cac52f184dccfa543511,Some of the AI answrs were very believable,ai_good_quality_authenticity
59a7cfeb7ff2320001ec59d9,"I thought all responses were authentic, so perhaps I am not as familiar with AI as I thought! I think the use of AI in debates is very dangerous. Who feeds all the data in?",ai_good_quality_authenticity; ai_indistinguishable ; ai_not_as_familiar; ai_use_no
5d1794f9db7eb7001af1b00c,"It remains that an artifice, howsoever convincing, diminishes the intrinsic value of humanity and all that reflects its very essence. It is possible (for all I know!) that one could produce 10,000 ersatz Beethoven Sonatas, and just as many Chopin Waltzes by using artificial means, but would this not render them tedious, as commonplace? Worse, would there not be a risk that the same disengagement might reverberate onto the originals, too?!",ai_use_imitates; ai_misuse; ai_use_defeats_purpose
6441071db76c204f70e132fc,I am clearly not able to judge accurately whether or not a response was AI generated,ai_indistinguishable 
64294e2b5234fdc8f81ffe6a,"Clearly, I was persuaded by the AI version in some of my choices. I felt those choices were clearer and less emotional so would concede that AI adds something but would caveat that when I read the full dialogue and background information of the speakers, the context became clearer and my choices may have been different. It is much easier when actually watching QT!",ai_indistinguishable ; ai_better_quality_clearer; ai_better_quality_less_emotion; context_to_distinguish; ai_valuable_contribution
65cb76b8dd56502a5687bfbd,"i know that some people, especially those who use AI regularly, can recognise AI generated content easier. The fact that i did not think that AI was involved, or even suspect, leads me to believe I am not as familiar with AI as i thought i was.",ai_indistinguishable ; ai_not_as_familiar
665acacd6f53305291fbd38e,I did not realise some of the responses were developed through AI. I still think this should be used responsibly.,ai_indistinguishable ; ai_use_responsibly
58ae2cb09e040a000139af76,Well I thought most of the answers were by real people so that's why i changed answer for the familiarity with chatbots and AI  My original choice was strongly agree but I changed it to agree because I could learn more,ai_indistinguishable ; change; ai_not_as_familiar
66446d88662725412dc27d06,"Knowing that some responses were AI generated I would've judged them differently. However, it wasn't easy for me to pick up the fact that AI was used for several of the responses",ai_indistinguishable; awareness_could_help
6657296c2b6895525a58537b,I felt as if i didnt recognise the AI text as i predicted i would,ai_not_as_familiar
6658df4ff45df15a18d4b115,I'm obviously very bad at spotting AI content when I'm not expecting it! So I've changed my (overconfident) familiarity judgement.,ai_not_as_familiar
5d3821f0ddea5a0001757f93,I am obviously not quite as familiar with AI and chatbots as I thought I was.,ai_not_as_familiar
6658b2472faf93a372286204,"i thought that AI generated text was obviously made by AI, but do not believe that i am as familiar with ai as i have seen the real response and fake one",ai_not_as_familiar
64eb7975f0171c1552c78e48,"I obviously didn't recognise the use of chatbots as well as I thought I could! The responses that chatbots gave were, overall, more coherent and relevant to the questions.",ai_not_as_familiar; ai_better_quality_relevance; ai_better_quality_coherence
662e46833238ec021abe2648,I was not aware of the fluency and accuracy that AI chatbots could provide even in a political context.,ai_not_as_familiar; ai_good_quality_fluency; ai_good_quality_accuracy
66565d5c83886df54573f3c5,"I am less familiar with AI than I thought I was, and now I am more likely to believe that AI can contribute somewhat to a debate.",ai_not_as_familiar; ai_use_maybe
61656042f505fd7fa53e8628,Perhaps i am not so familiar that is why i have changed to the first one,ai_not_as_familiar; change
666211d728f0722a3733b6ab,i changed my familiarity to chat bots and AI due to my answers I feel that I don't have as deep of an understanding than I thought.,ai_not_as_familiar; change
66409560ad936cfe4f1438fd,I thought I was more familiar with AI usage than I perhaps am. I didn't notice awkward sentence structures like I have seen in the past which is usually an instant give away. Everything else I agree with my previous statements.,ai_not_as_familiar; change; ai_good_quality_sentence_structure
5c5ca0ce4ee81200018eaf51,"Provided that the AI is used only to better convey the genuine ideas of the speaker, it is useful. If an AI is told to use deceptive persuasive methods to sway votes or debates, then that is dangerous.",ai_use_danger; ai_use_deceive; ai_as_tool
665dca5d58ef8981e2434ba8,I think AI can be incredibly dangerous in a public speaking debate especially on shows like question time when you are talking about your party's motives. AI has been proven time and time again to not be 100% factually correct.,ai_use_deceive; ai_fact_correctness
665e1f12dbbf9d7d418516a6,It seems deceptive that i thought the original responses were genuine,ai_use_deceive; ai_indistinguishable 
66640de47db5e38fe0ea186d,"The ability for a chatbot to hoodwink the public is large. Where they are used for text based customer service it is acceptable, when it is to inform political debate then it isn't",ai_use_deceive; ai_use_limited
667406bcdc6f783c2537e542,It needs to be clear to people that Ai is being used to inform their decision making.,ai_use_disclosed
5c75c7c92c662600014eb328,"Because if AI/Chatbots are going to represent political speech, people need to know that.",ai_use_disclosed
6272f5f3d37c1c9e88c115a2,It's really important that it is signalled if AI / Chatbots are used. There is a danger that they could be used to spread disinformation.,ai_use_disclosed; ai_use_danger; ai_use_deceive
